TITLE,ALT_TITLE,INFO,LANGUAGE,EPISODES,DISCS,GENRE,DETAILS
07 GHOST,,,Japonés (Sub esp),26,2,"Magia, acción, drama",
11 eyes,,,Japonés (Sub esp),12,1,"Acción, ecchi, fantasía, romance",
5 centimetros por segundo,,,Japonés/Inglés (Sub esp),Pelicula,1,"Drama, romance",
A tree of Palme,,,Japonés (Sub esp),Pelicula,1,"Fantasía, aventura, drama",
Accel World,,,Japonés (Sub esp),24 + OVA,2,"Aventura, acción, sci-fi, romance",
Acchi kocchi,,,Japonés (Sub esp),12,1,"Romance, comedia",
Afro Samurai,,,Inglés (Sub Español),5 + Pelicula,1,"Acción, gore",
Ah! Megami-sama,Oh! Mi Diosa,OVAS,Español,5,1,"Romance, comedia, fantasía",
Ai no Kusabi (2000),,Remake,Japonés (Sub esp),4,1,"Yaoi, sci-fi, acción",Serie Yaoi (ChicoXChico) - No recomendado para menores de 16 años.
AIR,,,Japonés (Sub esp),13,1,"Romance, drama",
AIR (Movie),,,Japonés (Sub esp),Pelicula,1,"Romance, drama",
Air Gear,,,Japonés (Sub esp),25 + 3 especiales,2,"Acción, ecchi",
Akame ga kill,,,Japonés (Sub esp),24,2,"Acción, aventura, suspenso, poderes",
Akatsuki no Yona,,,Japonés (Sub esp),24,2,"Aventura, romance, harem invertido",
AKB0048,,Primera Temporada,Japonés (Sub esp),13,1,"Aventura, espacial, idols",
AKB0048 NEXT,,Segunda Temporada,Japonés (Sub esp),13,1,"Aventura, espacial, idols",
Akira,,,Español,Pelicula,1,"acción, Sci-fi, sobrenatural, gore",
Aku no Hana,Les fleurs du Mal,,Japonés (Sub esp),13,1,"Slice fo life, escolar, psicologico",
Akuma no Riddle,,,Japonés (Sub esp),13,1,"Acción, suspenso, yuri",Serie Yuri (ChicaxChica) Se recomienda discreción.
Aldnoah.Zero,,Primera Temporada,Japonés (Sub esp),12,1,"Acción, mecha, espacial",
Aldnoah.Zero 2,,Segunda Temporda,Japonés (Sub esp),12,1,"Acción, mecha, espacial",
Amagami SS Plus,,Segunda Temporda,Japonés (Sub esp),13,1,"Escolar, drama, romance, light-ecchi",
Amnesia,,,Japonés (Sub esp),12,1,"Romance, harem invertido, drama, fantasía",
Angel Beats,,,Japonés (Sub esp),13 + 2 OVAS,1,"Acción, aventura, drama",
